Price,Close,High,Low,Open,Volume
Ticker,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA
Date,,,,,
2024-01-26,56.2400016784668,58.900001525878906,56.040000915527344,58.900001525878906,10955800
2024-01-29,55.45000076293945,57.310001373291016,55.040000915527344,56.22999954223633,7615500
2024-01-30,54.4900016784668,55.650001525878906,53.849998474121094,55.099998474121094,11611000
2024-01-31,54.119998931884766,55.81999969482422,54.119998931884766,54.59000015258789,14076900
2024-02-01,54.47999954223633,54.709999084472656,53.56999969482422,54.36000061035156,7681900
2024-02-02,53.560001373291016,54.779998779296875,53.31999969482422,54.47999954223633,7142400
2024-02-05,53.7400016784668,54.16999816894531,52.959999084472656,53.369998931884766,5464400
2024-02-06,52.689998626708984,54.209999084472656,52.08000183105469,52.86000061035156,16502000
2024-02-07,53.52000045776367,53.970001220703125,51.900001525878906,52.689998626708984,11692900
2024-02-08,52.650001525878906,53.79999923706055,51.7400016784668,53.2599983215332,6017300
2024-02-09,52.5,53.380001068115234,52.36000061035156,52.650001525878906,2738500
2024-02-14,52.0,52.220001220703125,51.36000061035156,52.0,6696800
2024-02-15,52.130001068115234,52.540000915527344,51.65999984741211,52.20000076293945,4636600
2024-02-16,51.86000061035156,52.560001373291016,51.31999969482422,52.33000183105469,6153300
2024-02-19,52.560001373291016,52.56999969482422,51.43000030517578,51.43000030517578,2846100
2024-02-20,54.040000915527344,54.40999984741211,52.220001220703125,52.400001525878906,9960500
2024-02-21,53.95000076293945,54.34000015258789,53.18000030517578,54.040000915527344,6094900
2024-02-22,53.5099983215332,54.75,53.369998931884766,54.29999923706055,6113500
2024-02-23,53.189998626708984,53.88999938964844,52.209999084472656,53.88999938964844,5948300
2024-02-26,52.09000015258789,53.72999954223633,52.09000015258789,53.18000030517578,5304500
2024-02-27,54.5,54.5,52.540000915527344,53.0,7524200
2024-02-28,53.86000061035156,54.45000076293945,53.369998931884766,54.45000076293945,5057200
2024-02-29,53.0,53.79999923706055,52.689998626708984,53.59000015258789,7029800
2024-03-01,52.5,53.619998931884766,52.5,53.0099983215332,5903800
2024-03-04,51.16999816894531,52.900001525878906,51.0099983215332,52.400001525878906,10150200
2024-03-05,50.81999969482422,51.90999984741211,50.68000030517578,51.41999816894531,9877100
2024-03-06,51.33000183105469,52.119998931884766,50.72999954223633,51.0,20720500
2024-03-07,53.16999816894531,53.25,51.08000183105469,51.77000045776367,12279700
2024-03-08,53.150001525878906,54.72999954223633,52.4900016784668,53.060001373291016,8403700
2024-03-11,52.29999923706055,53.189998626708984,52.20000076293945,52.880001068115234,8745600
2024-03-12,53.599998474121094,54.849998474121094,52.31999969482422,54.400001525878906,10425700
2024-03-13,54.5,54.709999084472656,53.0099983215332,53.70000076293945,6176400
2024-03-14,53.91999816894531,54.650001525878906,53.54999923706055,54.22999954223633,10121900
2024-03-15,52.79999923706055,54.119998931884766,52.72999954223633,53.91999816894531,8371700
2024-03-18,52.529998779296875,53.2400016784668,52.150001525878906,53.130001068115234,4707200
2024-03-19,53.25,53.70000076293945,52.290000915527344,52.86000061035156,8371600
2024-03-20,54.70000076293945,54.70000076293945,52.88999938964844,53.08000183105469,5892000
2024-03-21,53.83000183105469,55.040000915527344,53.77000045776367,55.0099983215332,5349800
2024-03-22,52.849998474121094,53.83000183105469,52.689998626708984,53.310001373291016,3842500
2024-03-25,52.5,53.02000045776367,52.0,52.5,6369100
2024-03-26,53.93000030517578,54.83000183105469,52.209999084472656,52.29999923706055,10512100
2024-03-27,53.91999816894531,54.08000183105469,53.0099983215332,53.58000183105469,5526800
2024-03-28,54.68000030517578,55.20000076293945,53.56999969482422,53.81999969482422,8170600
2024-04-01,52.650001525878906,55.09000015258789,52.619998931884766,54.900001525878906,6815900
2024-04-02,52.439998626708984,52.709999084472656,51.5099983215332,51.56999969482422,8932300
2024-04-03,51.849998474121094,52.75,51.720001220703125,52.65999984741211,6010800
2024-04-04,53.40999984741211,54.5,52.209999084472656,52.209999084472656,8525200
2024-04-05,53.18000030517578,53.59000015258789,52.66999816894531,53.220001220703125,5453200
2024-04-08,53.900001525878906,54.060001373291016,52.619998931884766,53.20000076293945,5176400
2024-04-09,55.31999969482422,55.650001525878906,54.130001068115234,54.29999923706055,6145900
2024-04-10,53.59000015258789,55.04999923706055,53.349998474121094,54.95000076293945,6869000
2024-04-11,53.279998779296875,53.63999938964844,53.0,53.59000015258789,5160500
2024-04-12,51.849998474121094,53.439998626708984,51.66999816894531,52.91999816894531,14262200
2024-04-15,50.58000183105469,51.900001525878906,50.58000183105469,51.810001373291016,9887300
2024-04-16,50.06999969482422,51.27000045776367,49.70000076293945,50.0099983215332,11494000
2024-04-17,50.0,50.970001220703125,49.560001373291016,50.310001373291016,8991300
2024-04-18,50.90999984741211,51.310001373291016,49.90999984741211,50.27000045776367,7873800
2024-04-19,50.27000045776367,51.95000076293945,50.27000045776367,50.77000045776367,12906000
2024-04-22,49.540000915527344,50.56999969482422,49.11000061035156,50.560001373291016,10471800
2024-04-23,50.2400016784668,50.470001220703125,48.75,49.16999816894531,6253000
2024-04-24,49.52000045776367,50.9900016784668,49.2599983215332,49.599998474121094,8119200
2024-04-25,48.7400016784668,49.29999923706055,48.209999084472656,49.29999923706055,9388900
2024-04-26,50.5,50.70000076293945,49.150001525878906,49.150001525878906,7623200
2024-04-29,50.54999923706055,50.84000015258789,50.04999923706055,50.04999923706055,3845800
2024-04-30,49.029998779296875,50.439998626708984,48.939998626708984,50.15999984741211,7190100
2024-05-02,48.5099983215332,49.939998626708984,48.15999984741211,49.779998779296875,20064500
2024-05-03,49.880001068115234,50.77000045776367,49.560001373291016,49.70000076293945,15048300
2024-05-06,48.880001068115234,49.959999084472656,48.619998931884766,49.5,5970600
2024-05-07,49.630001068115234,49.79999923706055,48.630001068115234,49.0099983215332,8402800
2024-05-08,50.18000030517578,50.25,48.900001525878906,49.02000045776367,5940900
2024-05-09,49.54999923706055,50.119998931884766,48.91999816894531,49.2599983215332,9013800
2024-05-10,47.0,52.439998626708984,46.599998474121094,52.400001525878906,22108200
2024-05-13,46.29999923706055,47.38999938964844,45.7599983215332,47.310001373291016,17523300
2024-05-14,47.0,47.0,45.70000076293945,46.290000915527344,21302400
2024-05-15,47.880001068115234,48.65999984741211,46.70000076293945,47.0,13438100
2024-05-16,48.630001068115234,48.93000030517578,47.599998474121094,48.650001525878906,11921800
2024-05-17,48.400001525878906,49.41999816894531,48.08000183105469,48.34000015258789,7276800
2024-05-20,47.91999816894531,48.47999954223633,47.400001525878906,47.900001525878906,6365800
2024-05-21,46.619998931884766,48.16999816894531,46.540000915527344,47.91999816894531,8336900
2024-05-22,45.79999923706055,46.7400016784668,45.63999938964844,46.7400016784668,10586600
2024-05-23,45.70000076293945,46.290000915527344,45.13999938964844,45.9900016784668,5318700
2024-05-24,45.400001525878906,46.27000045776367,44.939998626708984,46.27000045776367,6199900
2024-05-27,44.939998626708984,45.38999938964844,44.61000061035156,44.75,3542100
2024-05-28,44.560001373291016,45.959999084472656,44.13999938964844,45.61000061035156,7897000
2024-05-29,44.0,44.29999923706055,43.47999954223633,44.04999923706055,12394900
2024-05-31,42.72999954223633,43.9900016784668,42.349998474121094,43.97999954223633,16540500
2024-06-03,42.650001525878906,43.08000183105469,42.09000015258789,42.880001068115234,9288500
2024-06-04,42.84000015258789,42.84000015258789,41.900001525878906,42.380001068115234,9414000
2024-06-05,43.02000045776367,44.29999923706055,42.880001068115234,43.9900016784668,9943800
2024-06-06,43.70000076293945,44.0099983215332,42.75,42.84000015258789,8681900
2024-06-07,42.75,43.439998626708984,42.29999923706055,42.97999954223633,5530900
2024-06-10,41.86000061035156,42.810001373291016,41.86000061035156,42.33000183105469,4533800
2024-06-11,41.54999923706055,42.41999816894531,41.5099983215332,42.0,7179400
2024-06-12,41.02000045776367,42.209999084472656,40.27000045776367,41.93000030517578,11882200
2024-06-13,40.18000030517578,41.099998474121094,40.099998474121094,41.099998474121094,9478500
2024-06-14,40.41999816894531,40.70000076293945,39.77000045776367,39.91999816894531,8598600
2024-06-17,39.400001525878906,40.09000015258789,39.25,40.09000015258789,8040300
2024-06-18,39.150001525878906,39.900001525878906,38.9900016784668,39.400001525878906,6677900
2024-06-19,39.92580032348633,39.99565505981445,38.91792678833008,39.08757019042969,4652190
2024-06-20,39.546600341796875,40.84386444091797,39.2172966003418,39.96571731567383,9182022
2024-06-21,41.612247467041016,41.89165496826172,39.16740036010742,39.42685317993164,14774792
2024-06-24,42.09123611450195,42.709930419921875,41.532413482666016,41.89165496826172,8690187
2024-06-25,42.14112854003906,42.819698333740234,41.03346633911133,41.54239273071289,11211593
2024-06-26,42.31077194213867,42.52033233642578,40.933677673339844,41.462562561035156,12490885
2024-06-27,42.849998474121094,42.880001068115234,41.709999084472656,42.02000045776367,11556700
2024-06-28,42.0,42.810001373291016,41.2400016784668,42.810001373291016,10629700
2024-07-01,41.77000045776367,43.11000061035156,41.650001525878906,41.86000061035156,9860900
2024-07-02,41.70000076293945,41.97999954223633,41.02000045776367,41.81999969482422,7536200
2024-07-03,42.150001525878906,42.970001220703125,42.04999923706055,42.130001068115234,6503500
2024-07-04,43.599998474121094,44.0,42.56999969482422,42.56999969482422,10443600
2024-07-05,43.7400016784668,43.9900016784668,42.90999984741211,43.470001220703125,7454700
2024-07-08,43.63999938964844,43.90999984741211,43.150001525878906,43.77000045776367,3866900
2024-07-09,44.41999816894531,44.779998779296875,43.349998474121094,43.540000915527344,5540200
2024-07-10,45.25,46.09000015258789,44.72999954223633,44.95000076293945,8892700
2024-07-11,46.599998474121094,46.619998931884766,45.4900016784668,45.79999923706055,8646500
2024-07-12,46.70000076293945,47.27000045776367,46.41999816894531,46.75,12341200
2024-07-15,46.439998626708984,46.79999923706055,46.06999969482422,46.79999923706055,6189100
2024-07-16,45.86000061035156,47.099998474121094,45.86000061035156,46.349998474121094,3308300
2024-07-17,45.130001068115234,46.22999954223633,45.0099983215332,46.0,4662200
2024-07-18,43.470001220703125,45.02000045776367,43.0,45.02000045776367,9506300
2024-07-19,43.40999984741211,43.97999954223633,43.09000015258789,43.470001220703125,6212600
2024-07-22,42.95000076293945,43.79999923706055,42.900001525878906,43.52000045776367,7415700
2024-07-23,43.380001068115234,43.41999816894531,42.29999923706055,42.79999923706055,13656800
2024-07-24,43.29999923706055,43.810001373291016,42.41999816894531,43.189998626708984,6560200
2024-07-25,43.060001373291016,43.63999938964844,42.5,42.779998779296875,9905700
2024-07-26,43.93000030517578,44.040000915527344,42.41999816894531,42.849998474121094,6019600
2024-07-29,42.599998474121094,44.279998779296875,42.540000915527344,43.91999816894531,5681300
2024-07-30,42.040000915527344,42.68000030517578,41.720001220703125,42.29999923706055,6178400
2024-07-31,43.83000183105469,44.0,42.04999923706055,42.13999938964844,10333300
2024-08-01,43.7599983215332,44.7599983215332,43.45000076293945,44.150001525878906,7352800
2024-08-02,45.08000183105469,45.08000183105469,43.54999923706055,43.54999923706055,10079100
2024-08-05,43.939998626708984,44.290000915527344,42.439998626708984,44.150001525878906,9432200
2024-08-06,44.540000915527344,45.0099983215332,43.900001525878906,43.91999816894531,8317800
2024-08-07,48.54999923706055,48.81999969482422,45.5,45.939998626708984,22910600
2024-08-08,48.470001220703125,49.189998626708984,47.93000030517578,48.599998474121094,11639400
2024-08-09,48.849998474121094,49.54999923706055,48.470001220703125,49.189998626708984,5876700
2024-08-12,49.220001220703125,49.849998474121094,48.97999954223633,49.4900016784668,11962400
2024-08-13,48.099998474121094,50.22999954223633,47.59000015258789,49.209999084472656,10930000
2024-08-14,40.0,42.97999954223633,39.400001525878906,41.25,83137200
2024-08-15,39.20000076293945,41.11000061035156,39.040000915527344,40.58000183105469,28346900
2024-08-16,42.599998474121094,42.599998474121094,39.58000183105469,39.70000076293945,33435300
2024-08-19,44.25,44.25,42.65999984741211,42.70000076293945,15038400
2024-08-20,42.970001220703125,44.08000183105469,42.810001373291016,43.709999084472656,9647100
2024-08-21,43.70000076293945,43.959999084472656,42.90999984741211,43.060001373291016,6228900
2024-08-22,41.939998626708984,43.959999084472656,41.90999984741211,43.310001373291016,15339900
2024-08-23,42.29999923706055,42.849998474121094,41.540000915527344,42.290000915527344,9156400
2024-08-26,42.279998779296875,42.849998474121094,42.0,42.43000030517578,5016100
2024-08-27,42.900001525878906,43.06999969482422,42.02000045776367,42.2599983215332,6129800
2024-08-28,42.5,42.88999938964844,42.20000076293945,42.45000076293945,5428300
2024-08-29,41.75,42.849998474121094,41.75,42.599998474121094,7476600
2024-08-30,41.369998931884766,41.43000030517578,40.84000015258789,41.11000061035156,18503200
2024-09-02,41.25,41.54999923706055,40.599998474121094,41.209999084472656,4839700
2024-09-03,40.70000076293945,42.0,40.599998474121094,41.849998474121094,5726300
2024-09-04,41.93000030517578,42.59000015258789,40.70000076293945,41.02000045776367,6830100
2024-09-05,42.4900016784668,42.5,41.790000915527344,42.0,5936700
2024-09-06,42.02000045776367,42.810001373291016,41.93000030517578,42.400001525878906,5696100
